"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"27/5","1","0","0","1","0","1","0","0","0","1","0","0","3","22","0","2","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"28/5","1","1","0","1","0","1","0","0","0","1","0","0","4","23","0","1","0","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"29/5","1","1","0","1","0","0","0","0","0","1","0","0","5","25","0","1","0","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"30/5","1","2","0","1","0","0","0","0","0","1","0","0","5","24","0","1","0","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"31/5","1","2","0","1","0","0","0","0","0","0","0","0","4","24","0","1","0","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"1/6","1","2","0","1","0","0","0","0","0","0","0","0","4","25","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"2/6","1","3","0","1","0","0","0","0","0","0","0","0","4","21","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"3/6","1","3","0","1","0","0","0","0","0","0","0","0","4","20","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"4/6","1","3","0","1","0","0","0","0","0","0","0","0","3","21","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"5/6","1","3","0","0","0","0","0","0","0","0","0","0","2","21","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
