"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"26/8","50","3934","1","1","","144","","8","743","","","7","6","1","9","","43","","","","2","","24","10","","2","","10","","","449","4","8","42","4868","20","116","9","354","","","131","12","112","131","24","48","72","44","15","13","1","5","55","9","1","","8","","","23","","","","","","","",""
"27/8","77","5383","","4","","202","","5","996","1","","9","","2","28","","57","","","","2","","70","63","","13","","3","5","","454","3","4","132","8695","19","122","6","312","","","91","14","28","131","21","87","72","59","29","17","","6","31","8","8","15","","","","125","","","","","","","",""
"28/8","61","5481","","","","109","","13","797","","","15","3","2","22","","70","","","","1","","24","60","","","","","","","451","13","2","","4049","13","143","6","241","","","20","6","77","92","16","49","37","35","11","13","4","6","25","16","5","11","8","","","90","","","","","","","",""
"29/8","133","4957","","","","106","","3","377","","","14","","","11","","50","","","","","","7","52","","","","11","2","","533","12","3","234","5414","20","93","2","155","","2","103","5","29","92","21","78","37","55","13","18","6","6","22","","5","11","2","","","58","","","","","","","",""
"30/8","110","5889","2","","","54","","10","491","","","30","","2","18","","68","","","","","","40","24","","6","","2","","","524","3","","56","6050","36","37","4","221","","","90","7","73","126","14","46","36","33","20","15","3","7","11","19","1","4","5","2","","30","","","","","","","",""
"31/8","77","5444","","","","123","","3","634","","","40","5","1","8","","81","","6","","","","25","17","","3","","6","2","","587","5","3","118","4530","14","138","2","214","","","17","7","99","66","23","59","53","64","8","22","4","6","13","","","11","4","2","","47","","","","","","","",""
"1/9","51","5368","","","","55","","3","759","","","18","4","3","","","57","10","","","","","17","20","","20","","12","","","594","4","4","85","3440","18","75","1","194","","","70","7","106","112","23","53","42","29","15","","","6","17","20","6","5","3","","","103","","","","","","","",""
"2/9","48","5963","","","","42","","4","803","","1","19","6","3","50","","66","2","","","3","","25","34","","","","","","","583","8","","62","4504","7","102","","290","","","51","5","122","58","6","34","42","57","20","70","","2","8","13","11","2","4","","","56","","","","","","","",""
"3/9","58","8499","","","","81","","3","986","","","24","","1","15","","37","2","","","1","","","","","","","","","","564","2","10","267","3676","5","82","5","154","","","62","8","104","61","19","75","10","39","17","8","","","5","","4","1","9","","","","","","","","","","",""
"4/9","52","4104","","","","47","","","992","","1","23","1","3","8","","32","","","","","","22","73","","","","9","","","544","15","12","137","2485","14","120","1","148","","","35","7","125","51","29","99","76","39","7","62","5","3","2","21","6","","1","","","110","","","","","","","",""
"5/9","53","6226","","","","64","","1","1243","","","25","3","5","4","","48","","","1","1","","","","","4","","2","","","756","2","","91","3540","33","78","1","133","","","73","20","345","74","24","47","100","51","13","22","5","1","5","","6","","1","","","","","","","","","","",""
"6/9","42","7122","","","","63","","2","871","","","31","","7","11","","12","","","","1","","14","79","","","","2","","","857","9","13","134","2194","20","95","","234","","","87","9","201","97","34","48","70","22","9","28","4","3","4","13","10","","3","1","","21","","","","","","","",""
"7/9","36","7310","1","","","34","","10","945","","","37","3","4","7","","18","","","","1","","9","","","8","","7","","","490","2","","164","3966","8","71","","183","","","87","7","242","61","25","46","74","31","11","48","1","1","2","","7","2","51","1","","182","","","","","","","",""
"8/9","40","7308","1","","","30","","2","814","","1","19","1","5","","","42","","","","","","9","24","","","","2","","","372","18","3","52","3172","11","62","1","171","","","46","","43","48","19","26","83","42","27","61","","2","6","13","5","1","28","","","53","","","","","","","",""
"9/9","35","5549","4","","","35","","10","880","","","6","","2","15","","8","","","","","","2","61","","1","","","","","412","12","8","161","4531","1","41","","115","","","28","","135","77","15","44","53","16","29","20","","1","12","9","4","","19","","","50","","","","","","","",""
"10/9","29","7539","1","","","30","","16","823","","","45","","","5","","16","","","","","","8","26","","","","3","","","321","26","2","248","3563","2","58","","156","","","19","3","86","34","13","34","37","11","15","58","5","3","6","","","","17","","","48","","","","","","","",""
"11/9","35","5629","3","","","19","","14","960","","","32","","2","3","","6","","","","","","1","18","","","","16","","","337","4","2","137","3971","2","34","1","147","","","107","","165","46","17","31","46","32","19","31","","5","1","11","","","5","","","38","","","","","","","",""
"12/9","20","6158","1","","","12","","12","974","","","30","","","12","","2","","","","","","","12","","","","","","","285","8","","93","3188","7","49","","628","","","62","1","117","46","14","16","68","46","16","33","2","2","3","","22","","17","","","61","","","","","","","",""
"13/9","41","5446","","","","13","","7","768","","","13","","","7","","9","","","1","","","18","28","","","","","","","327","6","2","142","3651","4","59","","161","","","44","5","77","44","7","38","68","16","5","42","","5","5","11","21","","20","","","57","","","","","","","",""
"14/9","21","6312","1","","","11","","14","777","","","9","","","6","","2","","","","","","11","10","","","","","","","379","34","","75","2178","5","32","","102","","","111","3","157","44","2","5","40","14","34","54","1","5","13","","8","","26","","","","","","","","","","",""
"15/9","14","5301","3","","","9","","9","808","","","15","","1","7","","2","","","","","","10","","","","","","","","424","13","","48","3228","","45","","93","","1","59","3","183","33","14","19","53","18","31","27","1","8","9","","10","","26","","","58","","","","","","","",""
"16/9","15","5735","1","","","2","","6","567","","","14","","1","6","","4","","","","","","3","26","","","","","","","281","7","2","58","2998","5","33","","81","","","126","","198","37","9","29","60","29","22","30","1","12","7","7","9","10","8","","","43","","","","","","","",""
"17/9","15","5972","","","","8","","1","345","","","52","","","3","","9","","","","","","3","","","12","","","","","273","14","1","114","4013","","35","","118","","","106","3","180","35","10","18","50","12","9","21","3","13","1","6","3","11","","","","37","","","","","","","",""
"18/9","19","4237","","","","","","3","939","","","23","","","4","","4","","","","","","1","91","","9","","","","","236","8","","66","2877","5","30","","197","","1","143","","168","28","8","21","43","10","45","10","1","14","1","","3","","70","","","45","","","","","","","",""
"19/9","20","5496","1","","","2","","13","953","","","24","","1","2","","","","","","","","","","","5","","","","","249","3","","53","2332","8","6","1","102","","","287","2","151","37","13","7","52","84","30","15","","15","6","","18","11","11","","","15","","","","","","","",""
"20/9","9","5171","","3","","3","","3","869","","","16","","1","2","","","","","","","","5","113","","1","","","","","268","8","1","32","1410","1","19","","211","","","100","4","175","19","15","28","48","7","23","5","1","9","1","5","10","10","27","","","35","","","","","","","",""
"21/9","12","6521","","12","","15","","2","590","","","9","","","4","","3","","","","","","","10","","","","","","","254","4","","59","3609","1","27","","105","","","121","6","134","18","10","15","43","13","22","11","3","11","1","","14","6","10","","","12","","","","","","","",""
"22/9","7","5435","","20","","10","","","930","","","6","","","2","","1","","","","","","9","","","9","","1","","","191","8","","48","4179","4","18","","89","","","186","","137","21","14","9","48","8","43","26","3","15","3","","2","2","20","2","","19","","","","","","","",""
"23/9","5","5052","","14","","3","","5","760","1","","4","","","1","","","","","","","","9","25","","2","","","","","190","7","2","86","2764","2","19","","67","","","109","","163","20","6","7","53","3","9","8","","9","","","7","","33","","","20","","","","","","","",""
"24/9","5","3786","","15","","4","","","803","","","7","","","1","","1","","","","","","4","33","","4","","","","","194","1","","53","2978","1","40","","112","","","90","11","203","19","9","24","57","13","18","2","","16","3","","6","4","4","","","9","","","","","","","",""
"25/9","4","4046","","66","","11","","","996","","","2","","","2","","4","","","","","","1","9","","7","","","","","193","4","","41","3629","1","6","","81","","","117","3","91","25","10","9","48","4","39","147","","13","13","42","4","","6","","","8","","","","","","","",""
"26/9","2","5121","","49","","8","","2","746","","","3","","","2","","3","","","","","","2","49","","4","","","","","171","5","17","37","3332","","10","","63","","","81","3","99","38","7","9","52","5","14","27","2","12","","","3","6","3","","","24","","","","","","","",""
"27/9","1","4134","","35","1","1","","3","616","","","3","","","1","","3","","","2","4","","","","","3","","","","","190","","2","80","3793","2","14","","58","","","131","3","73","26","11","32","56","4","21","1","","9","2","","4","","3","5","","15","","","","","","","",""
"28/9","6","3794","","11","","2","","2","787","","","5","","","","","","","","2","1","","","14","","4","","","","","159","1","","55","2575","7","7","","38","","","232","8","70","35","3","48","52","3","5","15","","16","2","","10","11","5","","","15","","","","","","","",""
"29/9","4","4699","","36","","1","","","899","1","","2","","","","","","","1","","","","","15","","16","","","","","132","22","5","23","2389","3","1","","68","","","63","7","82","32","2","29","42","2","11","","","14","3","112","12","","3","","","13","","","","","","","",""
"30/9","1","4372","","45","","2","","","626","","","10","","","1","","13","","14","","","","2","64","","2","","","","","125","3","","39","2103","1","9","1","49","","","172","6","79","30","4","38","41","6","7","16","5","15","3","","","","10","2","","21","","","","","","","",""
"1/10","8","3670","1","50","","2","","1","735","","","6","","","5","","1","3","2","","2","","","","","16","","","","","107","13","6","50","1787","","13","3","71","","","116","4","81","15","6","61","30","13","13","11","","15","3","","1","","3","","","17","","","","","","","",""
"2/10","14","2723","1","42","","1","","","509","1","","12","","","","","10","2","5","2","6","","","59","","13","","","1","","107","3","1","20","1517","1","6","","36","","","139","4","77","36","2","47","23","3","5","2","1","16","","","3","5","7","","","15","","","","","","","",""
"3/10","4","2461","","39","","1","","","824","","","3","","","","","11","","1","","1","","1","17","","15","","","","","85","4","1","54","1283","2","35","3","13","","","147","4","75","50","5","73","33","13","8","12","2","12","5","","24","20","6","1","","19","","","","","","","",""
"4/10","8","2490","","36","","1","","","701","1","","17","","2","2","","10","3","2","","1","","","","","9","","","","","90","9","1","20","1210","10","33","","52","","","222","7","69","53","5","48","27","25","14","","","12","12","118","36","","8","","","18","","","","","","","",""
"5/10","3","1491","","28","","2","","1","653","1","","15","","","","","16","4","2","","2","","2","8","","13","","","","","84","39","3","35","1107","10","67","2","59","","","172","10","77","39","1","149","47","47","18","17","2","18","16","","32","48","3","2","","15","","","","","","","",""
"6/10","9","1960","","25","","1","","8","534","","","7","1","","2","","5","2","","","","","5","58","","","","1","1","","74","32","20","41","852","52","47","1","72","","","180","20","79","47","1","60","44","17","18","5","","14","21","","22","","7","4","","7","","","","","","","",""
"7/10","3","1730","","24","1","1","3","4","589","","","13","","1","5","","1","4","1","","1","","","36","","22","","","","","84","22","13","84","840","21","45","4","56","","","186","10","83","51","1","32","30","19","2","2","","11","10","","36","30","14","9","","13","","","","","","","",""
"8/10","5","2215","","22","","","1","3","612","3","","13","","","15","","17","1","1","","","","","","","8","","3","3","","66","10","39","92","828","16","51","7","74","","3","182","14","89","55","7","58","48","19","18","13","29","6","14","","49","39","15","6","","4","","","","","","","",""
"9/10","1","1662","","24","1","","","","575","","","15","","","7","","","1","2","","","","13","85","","18","","","","","61","14","65","57","820","8","81","6","44","","2","308","11","113","41","","122","18","14","5","9","5","12","7","192","54","27","4","3","","5","","","","","","","",""
"10/10","1","1067","","22","5","2","","3","662","2","","12","","2","14","","","","","","","","2","","","14","","1","","","77","38","25","59","782","29","39","1","64","","","128","10","94","40","5","109","41","6","7","16","","12","12","","48","30","11","1","18","","2","","","","","","",""
"11/10","1","1527","","21","1","","","","499","2","","38","1","4","2","","27","1","","","1","","","119","","2","","3","1","","76","14","13","55","446","48","55","4","67","","","142","12","91","26","1","45","47","16","21","6","26","9","40","","51","32","9","10","","5","","","","","","","",""
"12/10","4","1018","","18","","4","","3","501","2","","11","","7","8","","","","","","1","2","8","","","5","","","","","70","51","48","112","447","28","87","4","20","","1","111","10","76","38","5","72","28","7","12","9","7","8","9","","37","31","5","4","","9","1","","","","","","",""
"13/10","29","1162","","18","2","","","29","486","","1","19","","5","5","","12","4","","","","","3","113","","7","1","3","1","","59","45","60","51","501","46","87","4","74","","","121","15","76","39","3","55","17","18","13","3","8","7","11","","41","31","9","4","152","7","1","","","","","","",""
"14/10","1","909","","15","1","1","","17","647","","1","10","","4","6","","7","","1","","","1","3","44","","","","","","","59","6","","274","483","21","49","2","72","","7","104","14","80","35","2","61","20","11","8","10","28","6","12","1059","","36","12","1","","7","","","","","","","",""
"15/10","1","1131","2","15","","","2","11","586","1","2","7","1","","27","","25","","5","","1","","22","","","13","","9","","","47","40","30","64","533","18","78","4","70","","1","170","15","82","28","2","","43","12","9","11","8","9","12","414","168","34","8","4","","12","2","","","","","","",""
"16/10","23","790","1","10","","","","71","397","1","","29","","4","39","1","25","5","1","","","","5","84","","9","","4","","1","70","31","34","101","385","41","97","1","121","","","130","15","93","42","1","116","42","11","8","","11","8","4","142","93","38","10","30","34","2","","","","","","","",""
"17/10","10","1059","","22","","","","19","517","4","2","28","1","1","25","2","14","","8","","","","2","22","","1","1","","","","54","12","24","156","537","14","38","4","46","","3","117","15","93","40","3","38","29","10","8","12","4","9","7","64","48","27","6","5","9","5","","","","","","","",""
"18/10","6","968","","20","","","","45","393","","3","19","","4","42","","25","22","58","","","","12","46","","8","6","","1","","68","48","40","18","439","33","61","","94","","","109","14","99","31","6","28","27","8","15","9","","6","9","174","77","28","4","20","1","15","","","","","","","",""
"19/10","11","907","","21","","2","1","12","371","3","1","11","","5","23","1","6","3","59","","","","2","","","3","","2","4","","51","41","33","104","500","45","65","4","79","","1","134","15","92","38","3","16","24","5","10","3","34","6","12","200","39","14","5","","","5","1","","","","","","",""
"20/10","10","1347","","19","1","8","2","24","305","2","","17","","13","25","1","33","3","50","","","","11","77","","23","1","2","","","72","99","93","52","492","38","24","1","65","","3","194","14","87","39","1","50","44","13","16","13","","5","18","100","46","23","4","12","40","3","","","","","","","",""
"21/10","9","1255","","10","2","","","10","390","1","1","10","1","6","21","","29","12","35","","2","2","","","2","3","","5","","1","70","102","43","185","483","57","34","3","82","","","174","15","92","40","4","78","23","18","36","14","8","5","7","109","80","18","11","6","3","11","","","","","","","",""
"22/10","8","1205","4","21","","","2","9","417","","7","10","","5","37","","57","17","54","3","3","","26","266","","","1","1","1","","72","83","69","147","471","76","33","4","61","","3","220","14","80","43","","74","17","12","11","5","13","7","14","148","52","17","3","22","18","34","","","","","","","",""
"23/10","7","749","","5","","2","","13","605","","6","12","","5","18","","23","3","75","1","2","2","34","","","7","1","","2","","68","130","53","90","517","58","32","1","156","","5","224","15","97","39","8","81","43","38","12","22","","7","10","","40","25","1","11","6","","","","","","","","",""
"24/10","14","966","","6","","9","","17","429","2","","12","","8","38","","27","11","34","","3","","32","193","","2","2","","","","88","155","44","132","524","113","41","","78","1","","297","15","83","43","3","51","48","16","11","12","8","11","15","296","42","","5","10","68","11","2","","","","","","",""
"25/10","18","969","","14","3","1","","12","458","1","1","8","2","5","21","","15","21","37","5","1","","23","33","","15","","","3","","74","156","52","163","517","60","19","3","111","","1","232","18","99","44","2","57","26","27","20","10","3","12","23","87","42","48","13","4","22","8","1","","","","","","",""
"26/10","18","783","8","11","2","2","","28","481","1","","8","1","1","50","","59","26","33","","2","","12","162","","","2","4","","","66","106","46","120","528","108","17","","121","","","290","18","118","45","2","40","57","33","23","23","6","11","19","","32","27","7","2","28","3","2","","","","","","",""
"27/10","26","1140","","12","","3","","92","499","","1","21","","4","45","","19","28","18","1","14","1","14","254","","6","","","1","","81","242","32","202","521","82","49","1","127","","1","221","18","150","44","1","97","98","17","3","19","","14","14","98","","42","6","6","19","","","","","","","","",""
"28/10","31","1069","2","21","7","4","1","129","745","","","9","1","12","22","","43","38","81","1","3","","31","80","","7","","","","1","93","","58","190","618","92","26","","139","","2","286","25","160","30","10","116","138","19","5","","20","22","39","128","78","39","6","6","184","9","","","","","","","",""
"29/10","37","977","1","13","1","2","","38","697","2","4","7","","7","16","","25","14","46","6","12","2","17","90","","","","1","3","","91","398","61","180","697","59","60","1","75","","","320","37","249","30","3","68","101","","17","20","2","","34","151","65","42","6","12","60","32","","","","","","","",""
"30/10","56","1042","2","20","6","2","","19","679","","3","8","","22","15","","23","24","34","1","5","3","27","146","","10","","","","","106","404","69","203","665","82","67","4","223","","","231","35","298","26","10","79","95","25","16","23","7","69","46","190","40","42","7","7","","5","3","","","","","","",""
"31/10","46","1041","","22","","4","","18","688","2","2","7","1","33","23","","19","6","35","","20","2","17","157","","14","","","3","","109","415","63","110","672","83","83","","222","","","342","36","295","21","3","130","130","64","15","49","","58","54","180","60","38","","","103","9","","","","","","","",""
"1/11","57","927","","23","3","","","14","657","","1","14","","50","34","","22","10","70","","9","","22","164","1","2","2","","","4","100","382","18","157","682","72","89","3","163","","4","215","50","469","21","5","167","149","109","9","72","25","62","37","194","68","47","","29","98","13","","","","","","","",""
"2/11","56","682","2","21","3","7","","11","858","4","","9","","115","45","1","36","7","59","3","17","4","10","80","","","2","2","","8","116","316","74","131","780","67","91","2","202","","1","314","50","421","26","","164","146","67","40","13","20","89","47","165","62","46","11","10","93","7","","","","","","","",""
"3/11","76","985","1","11","1","4","","90","905","11","5","29","5","48","29","25","20","9","50","4","32","6","35","98","1","11","","8","9","1","119","290","45","272","773","36","97","1","207","1","2","312","67","374","27","10","136","152","82","50","70","18","95","52","193","","40","10","9","118","8","","","","","","","",""
"4/11","100","981","26","21","2","13","","42","939","5","1","11","","51","36","24","","3","67","4","68","2","26","210","","","3","","","14","178","","29","240","948","123","97","4","263","","4","381","75","478","34","5","194","186","98","35","52","","78","","198","51","45","17","","110","4","","","","","","","",""
"5/11","91","912","22","13","","14","","23","953","4","2","26","3","46","49","13","51","37","39","16","43","3","7","135","","4","2","2","5","5","140","468","94","305","917","86","166","13","163","1","1","411","92","477","44","3","298","199","74","18","107","30","55","90","193","241","49","76","7","138","4","6","1","","","","","",""
"6/11","116","986","16","18","16","21","1","27","1085","10","6","18","11","53","37","23","48","29","71","43","44","10","63","73","1","","1","","2","1","142","265","63","267","921","73","198","16","229","","","490","97","475","50","1","205","201","96","11","","27","49","84","203","318","","","3","146","13","7","","","","","","",""
"7/11","72","1009","11","13","3","18","","8","997","13","1","41","","51","45","14","50","46","51","21","70","1","29","151","2","5","","1","","3","119","298","29","393","826","75","289","21","233","","","427","128","398","60","13","279","210","150","46","114","20","48","64","238","184","56","44","13","116","13","","1","","","","","",""
"8/11","111","1316","18","9","9","21","","14","969","11","1","14","","68","27","4","58","67","57","10","56","16","14","133","","","2","11","2","16","136","229","59","354","823","51","351","17","392","","","531","149","363","80","7","267","178","149","50","79","29","52","69","","222","54","60","4","133","30","2","","","","","","",""
"9/11","268","1276","17","6","15","32","","39","923","4","7","39","","46","24","6","50","20","26","7","31","4","32","197","3","6","2","2","","","93","232","44","241","619","180","379","3","207","","","557","154","291","99","10","279","163","154","65","108","20","49","50","572","285","58","","4","127","2","2","","","","","","",""
"10/11","80","1414","23","6","4","26","2","19","848","18","1","57","9","23","33","6","51","29","45","","36","1","6","181","1","11","8","","5","2","132","234","61","435","627","74","274","44","396","1","","450","157","327","122","16","287","139","191","39","131","","50","87","298","180","63","36","11","94","13","2","2","","","","","",""
"11/11","154","1185","14","2","5","13","1","27","930","26","","41","20","68","49","15","32","59","61","24","26","","41","162","1","18","1","4","4","5","130","291","43","656","615","121","352","9","417","","","595","159","399","128","16","237","55","185","63","108","54","35","64","","181","68","60","4","97","15","","","","","","","",""
"12/11","176","1388","18","11","3","34","","45","813","30","54","38","6","49","37","2","47","27","34","23","42","16","44","","2","29","2","5","","2","110","252","23","517","654","85","383","18","634","","","661","284","403","170","8","287","178","177","57","99","54","47","84","298","258","101","60","2","62","33","","","","","","","",""
"13/11","152","1240","7","5","5","26","","27","743","21","79","35","","35","30","20","100","31","39","13","38","11","75","126","","15","","1","4","2","79","188","35","593","631","120","459","24","356","","2","547","292","181","209","17","265","81","224","126","198","61","39","99","296","271","67","39","2","57","9","","4","","","","","",""
"14/11","88","985","","21","","18","2","43","674","","134","39","9","32","47","20","44","36","46","37","41","","93","228","","35","27","","9","4","95","273","36","332","623","134","382","1","274","","","695","288","274","209","16","369","146","204","30","184","","37","98","299","243","69","52","","56","29","","3","","","","","",""
"15/11","239","1165","22","19","8","13","1","41","558","45","92","31","9","70","21","11","","10","17","23","38","5","81","","1","","35","","17","1","136","298","25","579","616","179","383","24","500","1","","660","289","329","111","24","342","125","178","55","187","68","39","90","305","215","87","51","4","117","12","","1","","","","","",""
"16/11","158","1183","9","7","11","34","1","61","631","29","106","32","9","81","52","8","145","73","14","15","60","","70","88","2","22","27","1","","2","100","328","50","683","607","194","392","7","671","","2","482","291","324","150","11","1048","158","300","48","199","84","35","185","343","340","96","44","3","122","18","","4","","","","","",""
"17/11","218","1337","12","18","11","37","","70","664","81","60","36","","107","29","3","77","51","17","79","79","7","96","188","6","15","25","","19","3","153","323","","376","601","152","489","14","526","","1","527","290","396","144","13","489","145","428","87","217","","34","180","364","233","94","32","7","134","29","","16","","","","","",""
"18/11","202","1609","10","12","56","26","1","73","563","16","85","51","6","78","46","59","61","47","15","31","49","5","91","118","2","5","25","8","","1","82","314","68","632","686","194","515","31","622","","5","510","314","304","135","25","333","130","423","82","189","95","45","184","343","158","122","41","2","235","20","","19","","","","","",""
"19/11","287","1339","8","13","32","26","5","62","578","20","99","41","6","75","45","17","100","53","23","49","22","1","82","","4","30","29","","6","4","112","425","44","599","661","194","509","","382","1","","365","303","307","154","11","370","247","444","60","183","80","39","162","376","270","123","37","","83","16","","4","","","","","",""
"20/11","234","1046","4","23","53","44","1","40","621","11","51","42","7","98","58","23","66","68","33","13","44","14","96","205","3","35","28","11","2","4","112","345","103","495","669","281","515","12","243","","6","329","297","246","158","20","407","201","370","61","256","106","51","131","391","342","188","86","","84","25","","10","","","","","",""
"21/11","216","1265","9","24","101","37","1","143","604","35","53","47","8","116","35","17","83","68","42","17","68","2","119","","4","14","29","","12","2","93","356","13","410","683","260","508","31","143","","","242","311","361","170","8","493","341","541","123","155","85","38","220","399","330","193","32","","121","42","","9","","","","","",""
"22/11","260","1547","16","24","39","32","1","80","522","17","38","45","","181","57","28","70","52","9","36","16","5","111","166","11","26","29","2","","4","85","388","89","564","688","202","507","30","77","","4","243","307","221","168","32","370","535","399","116","277","134","59","312","398","242","194","59","11","161","","","3","","","","","",""
"23/11","260","1204","16","22","70","65","1","95","571","19","50","65","10","99","52","4","92","40","27","44","24","2","160","75","35","15","28","3","6","2","145","474","45","600","28698","295","597","32","112","","4","320","505","350","172","51","493","354","709","111","509","65","57","236","395","252","195","56","6","79","46","","7","","","","","",""
"24/11","274","1666","8","24","133","60","","97","580","24","45","50","","241","98","7","132","56","26","22","20","36","82","152","63","35","29","","5","8","90","418","29","754","696","299","625","22","60","1","1","181","482","369","183","33","470","766","586","133","145","24","47","300","425","224","198","94","5","144","","1","11","","","","","",""
"25/11","264","1582","13","18","54","66","","92","543","5","60","39","13","122","69","17","118","42","34","19","20","2","96","93","64","26","28","9","5","10","110","617","128","683","678","294","609","26","123","","2","248","491","397","191","24","402","741","658","159","342","235","32","401","486","287","239","69","","135","91","","8","","","","","",""
"26/11","253","1809","47","10","62","92","1","95","556","8","25","80","44","153","55","4","117","38","38","25","16","4","113","181","4","57","28","","18","22","75","566","21","655","707","309","601","19","123","","2","387","536","418","216","30","496","897","653","132","271","112","31","501","493","374","238","92","6","143","28","","7","","","","","",""
"27/11","310","1773","22","2","104","66","3","59","567","39","32","56","28","137","55","9","124","29","33","15","9","22","106","","60","24","29","4","","54","109","574","109","3676","716","328","604","8","121","4","1","324","539","427","239","36","562","954","697","197","139","159","46","265","449","422","287","85","2","165","27","","10","","","","","",""
"28/11","277","1454","27","16","58","66","17","64","553","41","34","31","","185","71","7","70","40","40","28","11","128","136","75","49","26","27","1","","58","101","512","88","692","705","","592","65","155","2","5","215","545","439","258","23","598","966","531","193","591","133","57","522","491","387","294","72","","85","21","","","","","","","",""
"29/11","429","1554","22","11","50","65","17","84","548","69","7","47","20","145","87","4","143","55","54","9","11","36","119","","46","18","30","1","9","39","122","544","26","719","697","560","608","","50","","3","375","559","443","308","35","576","913","648","195","516","174","56","335","588","396","294","88","7","163","18","","13","","","","","",""
"30/11","367","1497","18","16","35","75","23","47","514","62","27","71","20","85","89","3","90","64","39","33","7","154","119","140","37","36","29","1","1","57","80","537","101","727","626","165","602","78","200","2","2","294","571","426","350","44","592","981","860","186","459","219","61","439","714","377","286","124","8","65","17","","17","","","","","",""
"1/12","467","1675","67","11","26","99","22","56","509","46","30","50","21","106","104","8","78","52","64","23","11","141","141","342","18","17","29","2","","79","82","402","47","729","642","240","610","31","142","","4","244","585","479","365","51","584","989","756","234","515","222","76","419","757","507","291","82","15","68","29","","15","","","","","",""
"2/12","499","1738","55","5","24","82","8","66","475","39","26","38","29","94","94","1","69","63","20","16","19","37","143","58","47","14","33","2","","87","81","492","27","768","414","202","606","","176","1","7","271","594","405","394","44","502","985","637","169","472","197","68","507","747","496","296","86","5","120","15","","12","","","","","",""
"3/12","791","1311","26","3","40","119","19","67","496","34","26","39","","127","73","2","133","38","45","7","26","198","950","171","23","","30","1","","98","112","334","48","779","302","226","608","45","117","4","7","285","564","350","450","37","581","982","560","204","477","98","82","571","791","489","192","138","16","120","16","","5","","","","","",""
"4/12","455","1636","65","8","44","104","40","59","433","55","27","41","","119","103","","61","39","49","20","20","81","335","42","20","34","25","1","6","82","91","565","180","787","319","301","624","21","209","1","11","319","552","498","467","52","626","998","620","203","562","","76","762","","568","288","116","","140","25","","8","","","","","",""
"5/12","400","1491","60","5","34","78","21","63","355","88","28","81","11","113","94","1","","47","45","62","12","91","305","","23","4","16","9","5","35","90","398","61","792","355","212","690","11","257","1","9","350","544","394","465","31","648","1132","710","428","547","84","75","630","775","444","295","102","13","160","25","2","5","","","","","",""
"6/12","587","1174","63","5","41","125","26","60","308","48","29","63","34","136","82","2","","53","33","2","10","154","61","269","12","26","37","2","6","62","103","481","111","859","226","466","695","20","285","","7","345","535","364","461","59","485","1189","569","222","637","207","44","699","793","639","291","102","","100","51","","3","","","","","",""
"7/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
