"Ngày","Hà Nội","TP HCM","Hưng Yên","Hà Nam","Vĩnh Phúc","Đà Nẵng","Yên Bái","Quảng Nam","Đồng Nai","Hải Dương","Thái Bình","Quảng Ngãi","Lạng Sơn","Bắc Ninh","Thanh Hóa","Điện Biên","Nghệ An","Nam Định","Phú Thọ","Quảng Ninh","Bắc Giang","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Long An","Bạc Liêu","Gia Lai","Tây Ninh","Bình Dương","Trà Vinh","Đồng Tháp","Hà Tĩnh","Tiền Giang","Bắc Kạn","Lào Cai","An Giang","Vĩnh Long","Kiên Giang","Khánh Hòa","Phú Yên","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","Cao Bằng","","","","","",""
"11/5","5","","","","7","","","","","2","2","","1","34","","","","","","","17","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/5","14","","1","1","13","27","","","","","1","","1","5","","","","1","1","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/5","8","","4","1","5","32","","","","","4","","","7","","","","","","","10","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/5","27","","1","","","3","","","","","2","","6","46","","1","","2","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/5","16","","1","1","5","8","","","","","","","4","17","","2","","1","","","109","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/5","8","","1","6","","12","","","","2","","","","47","","12","","","","","98","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/5","5","","2","5","4","7","","","","","","","2","49","","7","","","2","","97","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/5","20","","1","4","","2","","","","3","1","","","16","","7","","","","","96","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/5","11","2","","","1","2","","","","3","1","","3","47","","7","","","","","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/5","6","3","","","1","1","","","","6","","","2","24","1","4","","","","","63","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21/5","3","","2","","","2","","","","3","","","1","14","","7","","","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22/5","10","","4","","","1","","","","7","1","","2","28","2","3","","","","","84","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23/5","7","","","","","1","","","","3","","","","48","","","","","","","68","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24/5","21","1","","","","1","","","","5","","","11","38","","2","","","","","105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25/5","24","1","","5","","2","","","","","1","","7","28","","1","","","","","375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26/5","16","","","","","","","","","4","","","","91","1","1","","","","","121","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27/5","7","36","","","","1","","","","1","","","1","52","","1","","","","","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28/5","4","25","1","1","","","","","","1","1","","10","33","","","","","","","176","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/5","9","29","","3","","","","","","2","","","7","52","","1","","","","","170","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/5","20","59","","","","1","","","","1","","","","43","","","","","","","124","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31/5","28","","","","","1","","","","","","","3","38","","","","","","","134","","","1","","","","","","","2","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/6","2","70","","2","1","","","","","","","","12","34","","","","","","","124","","","","","","","","","","3","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/6","8","31","","","","1","","","","1","","","","31","","","","","","","157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/6","6","30","","","","","","","","1","","","3","44","","","","","","","145","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4/6","4","26","","","","","","","","","1","","","47","","","","","","","141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/6","2","31","","1","2","","","","","","","","1","55","","","","","","","149","","","","","","","","","","","","","","2","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6","2","31","","","","","","","","","","","","40","","","","","","","121","","","","","","","","","","","","","","2","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7/6","2","46","","2","","","","","","","","","7","29","","","","","","","122","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/6","3","39","","","","","","","","","","","5","25","","","","","","","98","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/6","6","40","","","","","","","","","","","1","35","","","","","","","296","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/6","4","61","","","","","","","","1","","","1","45","","","","","","","91","","","","","","","","","","1","","","","","","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/6","6","48","","","","","","","","","","","","28","","","","","","","95","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/6","","84","","","","","","","","","","","1","34","","","","","","","125","","","","","","","","","","","","","","","","","5","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/6","2","95","","","","","","","","","","","2","54","","","","","1","","129","","","","","","","","","","","","","","1","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/6","4","82","","","","","","","","","","","","17","","","1","","","","121","","","","","","","","","","","","","","4","","","22","14","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/6","1","90","","","","","","","","","","","2","55","","","","","","","235","","","","","","","","","","","","","","12","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/6","","99","","1","","","","","","","","","","27","","","3","","","","279","","","","","","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17/6","","137","","","","","","","","","","","2","12","","","1","","","","327","","","","","","","","","","","","","","7","","","4","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18/6","","149","","","","","","","","","","","","16","","","","","","","76","","","","2","","","","","","","","","","12","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19/6","1","135","","","","6","","","2","","","","2","36","","","16","1","","","227","","","","2","","","","","","6","","","","30","","","3","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20/6","","137","","","","27","","1","","","","","","19","","","5","","","","96","","","","","","","","","","","","","","13","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21/6","","166","2","","","4","","","","","","","","13","","","5","","","","51","","","","","","","","","","","","","","21","1","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
