"Ngày","Bắc Giang","Bắc Ninh","Bình Dương","TP HCM","Đồng Tháp","Hà Nội","Đồng Nai","Long An","Tiền Giang","Phú Yên","Đà Nẵng","Hưng Yên","Vĩnh Long","Khánh Hòa","Quảng Ngãi","Nghệ An","Hà Tĩnh","Lạng Sơn","Vĩnh Phúc","Điện Biên","Hà Nam","Yên Bái","Quảng Nam","Hải Dương","Thái Bình","Thanh Hóa","Nam Định","Phú Thọ","Quảng Ninh","Hải Phòng","Thừa Thiên Huế","Đăk Lăk","Hòa Bình","Quảng Trị","Tuyên Quang","Sơn La","Ninh Bình","Thái Nguyên","Bạc Liêu","Gia Lai","Tây Ninh","Trà Vinh","Bắc Kạn","Lào Cai","An Giang","Kiên Giang","Bình Thuận","Cần Thơ","Bà Rịa - Vũng Tàu","Bình Định","Bình Phước","Lâm Đồng","Ninh Thuận","Bến Tre","Sóc Trăng","Cà Mau","Hậu Giang","Đăk Nông","Kon Tum","Hà Giang","Quảng Bình","Lai Châu","","","","","",""
"","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","2","","","2","","","","","",""
"27/4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"28/4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"29/4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"30/4","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"1/5","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"2/5","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","6","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"3/5","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","14","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"4/5","0","0","0","1","0","4","0","0","0","0","2","2","0","0","0","0","0","0","14","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"5/5","0","0","0","1","0","19","1","0","0","0","2","2","0","0","0","0","0","0","14","0","14","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
