"CODE","KEY","TỈNH THÀNH","","NHIỄM HÔM NAY","NHIỄM SÁNG","NHIỄM TỐI","","ENGLISH","","TỈNH THÀNH BYT","","","NHIỄM HÔM NAY NHẬP CẢNH","MIỀN","","","","Hex","TỬ VONG THEO NGÀY 20","","","","","","1","2","3","4","","","","","","","","","Hex"
"44","52","Bình Định","5706","","","","5706","Binh Dinh","1487800","Bình Định","3","","","Trung","","","","","","23","384","2","","","","","","","111","111","109","2","5","","","",""
"29","51","Quảng Ngãi","3088","","","","3088","Quang Ngai","1231900","Quảng Ngãi","3","","","Trung","","","","","","14","251","1","1","2","","","","","31","31","30","1","3","","","",""
"42","91","Kiên Giang","22575","","","","22575","Kien Giang","1723700","Kiên Giang","4","","","Nam","","","","","","295","1310","17","8","","","","","","169","169","174","-5","5","","","",""
"54","40","Nghệ An","4856","","","","4856","Nghe An","3337200","Nghệ An","3","3","","Trung","","","","","","27","146","1","","2","","","","","13","13","17","-4","2","","","",""
"47","94","Sóc Trăng","18994","","","","18994","Soc Trang","1199500","Sóc Trăng","4","","","Nam","","","","","","129","1583","11","5","1","","","","","382","382","364","17","5","","","",""
"34","66","Đăk Lăk","8349","","","","8349","Dak Lak","1872600","Đắk Lắk","3","","","Trung","","","","","","36","446","2","1","2","","","","","55","55","40","14","4","","","",""
"35","58","Ninh Thuận","3304","","","","3304","Ninh Thuan","591000","Ninh Thuận","3","","","Trung","","","","","","45","559","8","","","","","","","82","82","84","-2","4","","","",""
"25","84","Trà Vinh","9670","","","","9670","Tra Vinh","1009300","Trà Vinh","3","","","Nam","","","","","","46","958","5","3","1","","","","","180","180","189","-9","5","","","",""
"58","89","An Giang","24974","","","","24974","An Giang","1907400","An Giang","4","","","Nam","","","","","","476","1309","25","15","","","","","","111","111","112","-2","5","","","",""
"37","83","Bến Tre","11380","","","","11380","Ben Tre","1289100","Bến Tre","4","","","Nam","","","","","","90","883","7","1","2","","","","","312","312","284","28","5","","","",""
"23","60","Bình Thuận","20241","","","","20241","Binh Thuan","1232300","Bình Thuận","4","","","Trung","","","","","","157","1643","13","5","1","","","","","326","326","333","-7","5","","","",""
"26","86","Vĩnh Long","14710","","","","14710","Vinh Long","1022600","Vĩnh Long","4","","","Nam","","","","","","122","1438","12","","2","","","","","386","386","388","-2","5","","","",""
"1","48","Đà Nẵng","6629","","","","6629","Da Nang","1141100","Đà Nẵng","3","","","Trung","","","","","","74","581","6","","2","","","","","60","60","55","5","4","","","",""
"19","27","Bắc Ninh","5430","","","","5430","Bac Ninh","1378600","Bắc Ninh","3","","","Bắc","","","","","","12","394","1","","1","","","","","57","57","57","-1","4","","","",""
"13","54","Phú Yên","3966","","","","3966","Phu Yen","873200","Phú Yên","3","","","Trung","","","","","","34","454","4","","","","","","","36","36","34","3","3","","","",""
"22","92","Cần Thơ","24001","","","","24001","Can Tho","1236000","Cần Thơ","4","","","Nam","","","","","","317","1942","26","18","2","","","","","587","587","565","22","5","","","",""
"5","1","Hà Nội","13679","","","","13679","Ha Noi","8093900","Hà Nội","4","","","Bắc","","","","","","59","169","1","","","","","","","44","44","42","2","3","","","",""
"7","77","Bà Rịa - Vũng Tàu","18929","","","","18929","Ba Ria Vung Tau","1152200","Bà Rịa - Vũng Tàu","4","","","Nam","","","","","","71","1643","6","3","","","","","","409","409","416","-7","5","","","",""
"21","72","Tây Ninh","33342","","","","33342","Tay Ninh","1171700","Tây Ninh","4","","","Nam","","","","","","331","2846","28","13","","","","","","464","464","452","12","5","","","",""
"33","82","Tiền Giang","26074","","","","26074","Tien Giang","1766300","Tiền Giang","4","","","Nam","","","","","","608","1476","34","10","2","","","","","78","78","65","13","4","","","",""
"6","56","Khánh Hòa","15982","","","","15982","Khanh Hoa","1232800","Khánh Hòa","4","","","Trung","","","","","","112","1296","9","1","","","","","","239","239","227","12","5","","","",""
"15","87","Đồng Tháp","25857","","","","25857","Dong Thap","1598800","Đồng Tháp","4","","","Nam","","","","","","350","1617","22","3","2","","","","","277","277","272","5","5","","","",""
"65","24","Bắc Giang","7085","","","","7085","Bac Giang","1810400","Bắc Giang","3","","","Bắc","","","","","","15","391","1","","1","","","","","6","6","6","0","2","","","",""
"51","vn-331","Đồng Nai","89822","","","","89822","Dong Nai","3113700","Đồng Nai","4","","","Nam","","","","","","852","2885","27","14","1","","","","","99","99","107","-8","4","","","",""
"36","80","Long An","38727","","","","38727","Long An","1695100","Long An","4","","","Nam","","","","","","659","2285","39","20","","","","","","38","38","39","-1","3","","","",""
"12","74","Bình Dương","284489","","","","284489","Binh Duong","2456300","Bình Dương","5","","","Nam","","","","","","2792","11582","114","","","","","","","117","117","137","-19","5","","","",""
"4","79","TP HCM","479483","","","","479483","TP HCM","9038600","TP. Hồ Chí Minh","5","","","Nam","","","","","","18353","5305","203","94","","","","","","116","116","121","-4","5","","","",""
"31","4","Cao Bằng","198","","","","198","Cao Bang","530900","Cao Bằng","2","","","Bắc","","","","","","1","37","0","","1","","","","","12","12","14","-2","2","","","",""
"46","vn-3655","Highcharts Color 0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","hs01","Hoàng Sa","","","","","","Hoang Sa","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","truongsa","Trường Sa","","","","","","Truong Sa","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","53","","","","","","","","","","","","","","","","",""
