"NGÀY","CỘNG ĐỒNG","TỔNG CỘNG ĐỒNG","blockade","community","imported","new_deaths","new_recovered","new_cases","total_cases","total_deaths","total_recovered_12","QUỸ VACCINE (tỷ VNĐ)","SỐ TIỀN QUỸ THEO NGÀY","BẮC","TRUNG","NAM","TỔNG BẮC","TỔNG TRUNG","TỔNG NAM","new_active","total_active","total_cases_2020","total_deaths_2020","total_recovered_2020_25","deaths_per_cases","deaths_1m_pop","cases_1m_pop","ma7_local_cases","ma7_recovered","ma7_deaths","city_by_day","mt7_local_cases","mt7_recovered","mt7_deaths","diff_mt7_local_cases (35)","diff_mt7_recovered","diff_mt7_deaths","per_mt7_local_cases","per_mt7_recovered","per_mt7_deaths","vaccine_doses_41","vaccine_dose_per_pop","total_cities","","day_full","TRUNG BÌNH NHIỄM / 1 TRIỆU NGƯỜI","TRUNG BÌNH TỬ VONG / 1 TRIỆU NGƯỜI","DÂN SỐ VIỆT NAM","new_cases_am","new_cases_pm","ICU_52","ECMO","new_people_vaccined_53","percent_people_fully_vaccined_54","percent_people_only_partly_vaccined_55","percent_people_vaccined_56","Bệnh nhân nặng đang điều trị 58","Thở ô xy qua mặt nạ","Thở ô xy dòng cao HFNC","Thở máy không xâm lấn","Thở máy xâm lấn","Check","Trung bình ca nặng 64"
"27/9","9342","761528","4889","4453","20","174","10528","9362","763201","18723","535934","8635","0","","","","","","","-1340","208842","765998","18758","538454","2,45%","194,4","7939","10035","10590","208","36","70307","74128","1453","-890","-4420","-192","-1%","-6%","-12%","","","62","","2021/9/27","","","","","","749","29","","","","","4135","2638","661","104","703","0","4659"
"28/9","8000","769528","7283","717","6","178","21487","8006","771207","18901","557421","8635","0","","","","","","","-13659","195183","774004","18936","559941","2,45%","196,3","8022","9508","12085","199","34","66621","84598","1391","-5760","7716","-218","-8%","10%","-14%","","","62","","2021/9/28","","","","","","749","28","","","","","7358","5001","1252","202","875","0","4976"
"29/9","8744","778272","3760","4984","14","162","23568","8758","779965","19063","580989","8635","0","","","","","","","-14972","180211","782762","19098","583509","2,44%","197,9","8113","9111","13750","188","33","63852","96247","1317","-9471","21635","-278","-13%","29%","-17%","","","62","","2021/9/29","","","","","","749","25","","","","","6988","4845","272","963","883","0","5262"
"30/9","7937","786209","3387","4550","3","203","25322","7940","787905","19266","606311","8635","0","","","","","","","-17585","162626","790702","19301","608831","2,44%","200,0","8195","8892","16478","183","36","62320","115343","1284","-9986","45406","-308","-14%","65%","-19%","","","62","","2021/9/30","","","","","","749","27","","","","","6815","4707","1023","218","840","0","5564"
"1/10","6941","793150","3044","3897","16","136","27250","6957","794862","19402","633561","8635","0","","","","","","","-20429","142197","797659","19437","636081","2,44%","201,5","8267","8665","18603","174","37","60740","130222","1217","-8582","57828","-366","-12%","80%","-23%","","","62","","2021/10/1","","","","","","749","25","","","","","6131","4297","902","99","808","0","5744"
"2/10","5477","798627","2473","3004","13","164","28857","5490","800352","19566","662418","8635","0","","","","","","","-23531","118666","803149","19601","664938","2,44%","203,2","8324","8065","21213","172","40","56524","148489","1201","-13131","80408","-342","-19%","118%","-22%","","","62","","2021/10/2","","","","","","749","25","","","","","6337","4277","1089","240","805","-99","6012"
"3/10","5367","803994","2693","2674","9","114","28859","5376","805728","19680","691277","8635","0","","","","","","","-23597","95069","808525","19715","693797","2,44%","204,3","8380","7401","23696","162","39","51889","165871","1131","-17737","95450","-363","-25%","136%","-24%","","","62","","2021/10/3","","","","","","749","26","","","","","6498","4318","1092","248","814","0","6323"
"4/10","5382","809376","2692","2690","1","130","27683","5383","811111","19810","718960","8635","0","","","","","","","-22430","72639","813908","19845","721480","2,44%","205,7","8436","6835","26147","155","37","47910","183026","1087","-22397","108898","-366","-32%","147%","-25%","","","62","","2021/10/4","","","","","","749","24","","","","","6144","4061","1042","163","854","0","6610"
"5/10","4360","813736","2591","1769","3","134","25573","4363","815474","19944","744533","8635","0","","","","","","","-21344","51295","818271","19979","747053","2,44%","207,1","8481","6315","26730","149","42","44267","187112","1043","-22354","102514","-348","-34%","121%","-25%","","","62","","2021/10/5","","","","","","749","22","","","","","6044","3968","975","171","908","0","6422"
"6/10","4356","818092","2133","2223","7","119","10033","4363","819837","20063","754566","8635","0","","","","","","","-5789","45506","822634","20098","757086","2,44%","208,3","8526","5689","24797","143","40","39872","173577","1000","-23980","77330","-317","-38%","80%","-24%","","","62","","2021/10/6","","","","","","749","23","","","","","5743","3897","907","169","747","0","6245"
"7/10","4147","822239","2161","1986","3","125","1402","4150","823987","20188","755968","8635","0","","","","","","","2623","48129","826784","20223","758488","2,45%","209,6","8569","5147","21380","132","43","36082","149657","922","-26238","34314","-362","-42%","30%","-28%","","","62","","2021/10/7","","","","","","749","23","","","","","5605","3769","911","157","745","0","6072"
"8/10","4773","827012","2330","2443","11","114","994","4784","828771","20302","756962","8635","0","","","","","","","3676","51805","831568","20337","759482","2,45%","210,8","8619","4837","17629","129","43","33909","123401","900","-26831","-6821","-317","-44%","-5%","-26%","","","62","","2021/10/8","","","","","","749","22","","","","","5361","3594","848","156","741","0","5962"
"9/10","4512","831524","2339","2173","1","105","1319","4513","833284","20407","758281","8635","0","","","","","","","3089","54894","836081","20442","760801","2,44%","211,9","8665","4700","13695","120","40","32932","95863","841","-23592","-52626","-360","-42%","-35%","-30%","","","62","","2021/10/9","","","","","","749","22","","","","","5014","3391","788","145","668","0","5773"
"10/10","3513","835037","2302","1211","15","113","21398","3528","836812","20520","779679","8635","0","","","","","","","-17983","36911","839609","20555","782199","2,45%","213,0","8702","4435","12629","120","41","31084","88402","840","-20805","-77469","-291","-40%","-47%","-26%","","","62","","2021/10/10","","","","","","749","22","","","","","5014","3391","788","145","668","0","5561"
"11/10","3617","838654","1891","1726","2","115","2549","3619","840431","20635","782228","8635","0","","","","","","","955","37866","843228","20670","784748","2,45%","214,2","8740","4183","9038","118","44","29320","63268","825","-18590","-119758","-262","-39%","-65%","-24%","","","62","","2021/10/11","","","","","","749","22","","","","","5014","3391","788","145","668","0","5399"
"12/10","2939","841593","1756","1183","10","93","1347","2949","843380","20728","783575","8635","0","","","","","","","1509","39375","846177","20763","786095","2,45%","215,2","8770","3980","5577","112","43","27906","39042","784","-16361","-148070","-259","-37%","-79%","-25%","","","62","","2021/10/12","","","","","","749","19","","","","","4299","2950","654","130","546","0","5150"
"13/10","3458","845051","2026","1432","3","106","1191","3461","846841","20834","784766","8635","0","","","","","","","2164","41539","849638","20869","787286","2,46%","216,3","8806","3851","4314","110","47","27004","30200","771","-12868","-143377","-229","-32%","-83%","-23%","","","62","","2021/10/13","","","","","","749","20","","","","","4120","2821","606","146","527","0","4918"
"14/10","4147","849198","2429","1718","4","81","719","4151","850992","20915","785485","8635","0","","","","","","","3351","44890","853789","20950","788005","2,45%","217,1","8849","3851","4217","104","43","27005","29517","727","-9077","-120140","-195","-25%","-80%","-21%","","","62","","2021/10/14","","","","","","749","21","","","","","4327","2636","598","484","588","0","4736"
"15/10","3789","852987","2314","1475","8","93","918","3797","854789","21008","786403","8635","0","","","","","","","2786","47676","857586","21043","788923","2,45%","218,1","8888","3711","4206","101","47","26018","29441","706","-7891","-93960","-194","-23%","-76%","-22%","","","62","","2021/10/15","","","","","","749","21","","","","","3847","2572","564","107","583","0","4519"
"16/10","3211","856198","2039","1172","10","88","1581","3221","858010","21096","787984","8635","0","","","","","","","1552","49228","860807","21131","790504","2,45%","219,0","8922","3525","4243","98","47","24726","29703","689","-8206","-66160","-152","-25%","-69%","-18%","","","62","","2021/10/16","","","","","","749","19","","","","","3528","2382","520","136","471","0","4307"
"17/10","3175","859373","1836","1339","18","63","1340","3193","861203","21159","789324","8635","0","","","","","","","1790","51018","864000","21194","791844","2,45%","219,7","8955","3477","1378","91","48","24391","9645","639","-6693","-78757","-201","-22%","-89%","-24%","","","62","","2021/10/17","","","","","","749","21","","","","","3413","2300","503","116","473","0","4078"
"18/10","3159","862532","1898","1261","9","75","1136","3168","864371","21234","790460","8635","0","","","","","","","1957","52975","867168","21269","792980","2,45%","220,4","8988","3411","1176","86","44","23940","8232","599","-5380","-55036","-226","-18%","-87%","-27%","","","62","","2021/10/18","","","","","","749","21","","","","","3543","2358","509","121","534","0","3868"
"19/10","3027","865559","1807","1220","7","75","1866","3034","867405","21309","792326","8635","0","","","","","","","1093","54068","870202","21344","794846","2,45%","221,2","9019","3424","1250","83","49","24025","8751","581","-3881","-30291","-203","-14%","-78%","-26%","","","62","","2021/10/19","","","","","","749","21","","","","","3522","2186","447","359","509","0","3757"
"20/10","3635","869194","1825","1810","11","72","1737","3646","871051","21381","794063","8635","0","","","","","","","1837","55905","873848","21416","796583","2,45%","222,0","9057","3449","1328","78","50","24210","9297","547","-2794","-20903","-224","-10%","-69%","-29%","","","62","","2021/10/20","","","","","","749","20","","","","","3879","2824","468","90","477","0","3723"
"21/10","3618","872812","1969","1649","18","71","1541","3636","874687","21452","795604","8635","0","","","","","","","2024","57929","877484","21487","798124","2,45%","222,7","9095","3373","1446","77","50","23695","10119","537","-3310","-19398","-190","-12%","-66%","-26%","","","62","","2021/10/21","","","","","","749","20","","","","","3041","2109","435","95","381","1","3539"
"22/10","3977","876789","2195","1782","8","56","5202","3985","878672","21508","800806","8635","0","","","","","","","-1273","56656","881469","21543","803326","2,44%","223,3","9136","3400","2058","71","50","23883","14403","500","-2135","-15038","-206","-8%","-51%","-29%","","","62","","2021/10/22","","","","","","749","16","","","","","3073","2131","430","113","383","0","3428"
"23/10","3361","880150","2029","1332","12","77","1338","3373","882045","21585","802144","8635","0","","","","","","","1958","58614","884842","21620","804664","2,44%","224,1","9171","3422","2023","70","47","24035","14160","489","-691","-15543","-200","-3%","-52%","-29%","","","62","","2021/10/23","","","","","","749","16","","","","","2977","2109","399","95","358","0","3350"
"24/10","4028","884178","2429","1599","17","53","1314","4045","886090","21638","803458","8635","0","","","","","","","2678","61292","888887","21673","805978","2,44%","224,6","9213","3544","2019","68","47","24887","14134","479","496","4489","-160","2%","47%","-25%","","","62","","2021/10/24","","","","","","749","19","","","","","2899","2045","405","80","350","0","3276"
"25/10","3620","887798","2047","1573","19","65","1323","3639","889729","21703","804781","8635","0","","","","","","","2251","63543","892526","21738","807301","2,44%","225,3","9251","3609","2046","67","53","25358","14321","469","1418","6089","-130","6%","74%","-22%","","","62","","2021/10/25","","","","","","749","15","","","","","3135","2347","350","96","327","0","3218"
"26/10","3592","891390","2161","1431","3","64","2989","3595","893324","21767","807770","8635","0","","","","","","","542","64085","896121","21802","810290","2,43%","226,0","9288","3690","2206","65","49","25919","15444","458","1894","6693","-123","8%","76%","-21%","","","62","","2021/10/26","","","","","","749","17","","","","","2722","1840","446","90","329","0","3104"
"27/10","4404","895794","2352","2052","7","54","2024","4411","897735","21821","809794","8635","0","","","","","","","2333","66418","900532","21856","812314","2,43%","226,5","9333","3800","2247","63","47","26684","15731","440","2474","6434","-107","10%","69%","-20%","","","62","","2021/10/27","","","","","","749","20","","","","","2718","1817","443","94","344","0","2938"
"28/10","4876","900670","2896","1980","16","54","1649","4892","902627","21875","811443","8635","0","","","","","","","3189","69607","905424","21910","813963","2,42%","227,1","9384","3980","2263","60","49","27940","15839","423","4245","5720","-114","18%","57%","-21%","","","62","","2021/10/28","","","","","","749","20","","","","","2687","1803","446","99","319","0","2887"
"29/10","4889","905559","2584","2305","10","56","2169","4899","907526","21931","813612","8635","0","","","","","","","2674","72281","910323","21966","816132","2,41%","227,7","9435","4110","1829","60","50","28854","12806","423","4971","-1597","-77","21%","-11%","-15%","","","62","","2021/10/29","","","","","","749","19","","","","","2990","1969","587","103","312","0","2875"
"30/10","5224","910783","2931","2293","3","64","2204","5227","912753","21995","815816","8635","0","","","","","","","2959","75240","915550","22030","818336","2,41%","228,3","9489","4376","1953","59","50","30708","13672","410","6673","-488","-79","28%","-3%","-16%","","","62","","2021/10/30","","","","","","749","15","","","","","2831","1965","454","107","290","0","2855"
"31/10","5504","916287","3177","2327","15","53","1998","5519","918272","22048","817814","8635","0","","","","","","","3468","78708","921069","22083","820334","2,40%","228,9","9546","4587","2051","59","46","32182","14356","410","7295","222","-69","29%","2%","-14%","","","62","","2021/10/31","","","","","","749","14","","","","","2840","1947","477","114","288","0","2846"
"1/11","5595","921882","3274","2321","3","48","1731","5598","923870","22096","819545","8635","0","","","","","","","3819","82527","926667","22131","822065","2,39%","229,4","9604","4869","2109","56","49","34141","14764","393","8783","443","-76","35%","3%","-16%","","","62","","2021/11/1","","","","","","749","14","","","","","2962","2067","479","109","293","0","2821"
"2/11","5613","927495","3355","2258","24","74","2741","5637","929507","22170","822286","8635","0","","","","","","","2822","85349","932304","22205","824806","2,38%","230,1","9663","5158","2074","58","53","36183","14516","403","10264","-928","-55","40%","-6%","-12%","","","62","","2021/11/2","","","","","","749","13","","","","","2950","2022","501","111","303","0","2854"
"3/11","6175","933670","3409","2766","17","78","8869","6192","935699","22248","831155","8635","0","","","","","","","-2755","82594","938496","22283","833675","2,37%","231,0","9727","5411","3052","61","58","37964","21361","427","11280","5630","-13","42%","36%","-3%","","","62","","2021/11/3","","","","","","749","13","","","","","3052","2090","547","114","288","0","2902"
"4/11","6576","940246","3687","2889","4","59","1731","6580","942279","22307","832886","8635","0","","","","","","","4790","87384","945076","22342","835406","2,36%","231,6","9795","5654","3063","62","49","39652","21443","432","11712","5604","9","42%","35%","2%","","","62","","2021/11/4","","","","","","749","20","","","","","3093","2129","527","120","297","0","2960"
"5/11","7487","947733","4280","3207","17","70","1941","7504","949783","22377","834827","8635","0","","","","","","","5493","92877","952580","22412","837347","2,35%","232,3","9873","6025","3031","64","60","42257","21215","446","13403","8409","23","46%","66%","5%","","","63","","2021/11/5","","","","","","749","16","","","","","3093","2193","480","112","292","0","2974"
"6/11","7480","955213","4372","3108","11","58","1754","7491","957274","22435","836581","8635","0","","","","","","","5679","98556","960071","22470","839101","2,34%","232,9","9951","6347","2966","63","55","44521","20765","440","13813","7093","30","45%","52%","7%","","","63","","2021/11/6","","","","","","749","13","","","","","3235","2283","522","117","300","0","3032"
"7/11","7631","962844","4299","3332","15","61","1301","7646","964920","22496","837882","8635","0","","","","","","","6284","104840","967717","22531","840402","2,33%","233,5","10030","6651","2867","64","56","46648","20068","448","14466","5712","38","45%","40%","9%","","","63","","2021/11/7","","","","","","749","13","","","","","3280","2322","521","116","308","0","3095"
"8/11","7954","970798","5717","2237","34","67","1073","7988","972908","22563","838955","8635","0","","","","","","","6848","111688","975705","22598","841475","2,32%","234,2","10113","6988","2773","67","55","49038","19410","467","14897","4646","74","44%","31%","19%","","","63","","2021/11/8","","","","","","749","13","","","","","3390","2379","573","119","306","0","3156"
"9/11","8129","978927","4177","3952","4","88","1325","8133","981041","22651","840280","8635","0","","","","","","","6720","118408","983838","22686","842800","2,31%","235,1","10197","7347","2571","69","55","51534","17994","481","15351","3478","78","42%","24%","19%","","","63","","2021/11/9","","","","","","749","13","","","","","3350","2355","553","105","324","0","3213"
"10/11","7918","986845","3919","3999","12","79","1254","7930","988971","22730","841534","8635","0","","","","","","","6597","125005","991768","22765","844054","2,30%","235,9","10279","7596","1483","69","59","53272","10379","482","15308","-10982","55","40%","-51%","13%","","","63","","2021/11/10","","","","","","749","13","","","","","3620","2617","588","91","311","0","3294"
"11/11","8145","994990","4194","3951","17","84","1894","8162","997133","22814","843428","8635","0","","","","","","","6184","131189","999930","22849","845948","2,29%","236,8","10364","7821","1506","72","56","54854","10542","507","15202","-10901","75","38%","-51%","17%","","","63","","2021/11/11","","","","","","749","13","","","","","3567","2539","617","97","301","0","3362"
"12/11","8976","1003966","4796","4180","6","81","10263","8982","1006115","22895","853691","8635","0","","","","","","","-1362","129827","1008912","22930","856211","2,27%","237,7","10457","8033","2695","74","56","56332","18864","518","14075","-2351","72","33%","-11%","16%","","","63","","2021/11/12","","","","","","749","14","","","","","3515","2410","674","106","311","0","3422"
"13/11","8451","1012417","4511","3940","16","88","1843","8467","1014582","22983","855534","8635","0","","","","","","","6536","136363","1017379","23018","858054","2,26%","238,6","10545","8172","2708","78","57","57308","18953","548","12787","-1812","108","29%","-9%","25%","","","63","","2021/11/13","","","","","","749","15","","","","","3824","2671","711","108","319","0","3507"
"14/11","8163","1020580","4458","3705","13","64","5257","8176","1022758","23047","860791","8635","0","","","","","","","2855","139218","1025555","23082","863311","2,25%","239,2","10629","8248","3273","79","52","57838","22909","551","11190","2841","103","24%","14%","23%","","","63","","2021/11/14","","","","","","749","13","","","","","3947","2765","726","110","333","0","3602"
"15/11","8603","1029183","4653","3950","13","101","1205","8616","1031374","23148","861996","8635","0","","","","","","","7310","146528","1034171","23183","864516","2,24%","240,3","10719","8341","3292","84","57","58466","23041","585","9428","3631","118","19%","19%","25%","","","63","","2021/11/15","","","","","","749","13","","","","","3950","2718","739","112","368","0","3682"
"16/11","10250","1039433","5881","4369","9","87","6481","10259","1041633","23235","868477","8635","0","","","","","","","3691","150219","1044430","23270","870997","2,23%","241,2","10825","8644","4028","83","59","60592","28197","584","9058","10203","103","18%","57%","21%","","","63","","2021/11/16","","","","","","749","11","","","","","4101","2813","796","115","366","0","3789"
"17/11","9839","1049272","4883","4956","10","67","3873","9849","1051482","23302","872350","8635","0","","","","","","","5909","156128","1054279","23337","874870","2,21%","241,9","10927","8918","4402","82","56","62511","30816","572","9239","20437","90","17%","197%","19%","","","63","","2021/11/17","","","","","","749","11","","","","","4338","2960","847","126","394","0","3892"
"18/11","10209","1059481","4755","5454","14","139","6723","10223","1061705","23441","879073","8635","0","","","","","","","3361","159489","1064502","23476","881593","2,21%","243,3","11033","9213","5092","90","60","64572","35645","627","9718","25103","120","18%","238%","24%","","","63","","2021/11/18","","","","","","749","14","","","","","4489","3061","880","124","410","0","4023"
"19/11","9617","1069098","4622","4995","8","102","1971","9625","1071330","23543","881044","8635","0","","","","","","","7552","167041","1074127","23578","883564","2,20%","244,4","11133","9305","3908","93","57","65215","27353","648","8883","8489","130","16%","45%","25%","","","63","","2021/11/19","","","","","","749","9","","","","","4596","3116","930","115","426","0","4178"
"20/11","9518","1078616","4742","4776","13","107","16773","9531","1080861","23650","897817","8635","0","","","","","","","-7349","159692","1083658","23685","900337","2,19%","245,5","11231","9457","6040","95","60","66279","42283","667","8971","23330","119","16%","123%","22%","","","63","","2021/11/20","","","","","","749","9","","","","","4630","3086","960","124","451","0","4293"
"21/11","9882","1088498","4521","5361","7","76","5163","9889","1090750","23726","902980","8635","0","","","","","","","4650","164342","1093547","23761","905500","2,17%","246,3","11334","9703","6027","97","57","67992","42189","679","10154","19280","128","18%","84%","23%","","","63","","2021/11/21","","","","","","749","8","","","","","4971","3399","978","128","458","0","4439"
"22/11","10299","1098797","4652","5647","22","190","4776","10321","1101071","23916","907756","8635","0","","","","","","","5355","169697","1103868","23951","910276","2,17%","248,2","11441","9945","6537","110","58","69697","45760","768","11231","22719","183","19%","99%","31%","","","63","","2021/11/22","","","","","","749","8","","","","","4992","3408","1007","129","440","0","4588"
"23/11","39126","1137923","33116","6010","6","167","1034","39132","1140203","24083","908790","8635","0","","","","","","","37931","207628","1143000","24118","911310","2,11%","250,0","11847","14070","5759","121","61","98570","40313","848","37978","12116","264","63%","43%","45%","","","63","","2021/11/23","","","","","","749","9","","","","","5295","3647","1020","163","456","0","4759"
"24/11","11789","1149712","5211","6578","22","125","25951","11811","1152014","24208","934741","8635","0","","","","","","","-14265","193363","1154811","24243","937261","2,10%","251,3","11969","14349","8913","129","59","100532","62391","906","38021","31575","334","61%","102%","58%","","","63","","2021/11/24","","","","","","749","10","","","","","5533","3805","1045","162","511","0","4929"
"25/11","12429","1162141","5587","6842","21","164","5627","12450","1164464","24372","940368","8635","0","","","","","","","6659","200022","1167261","24407","942888","2,09%","253,0","12098","14666","8756","133","59","102759","61295","931","38187","25650","304","59%","72%","48%","","","63","","2021/11/25","","","","","","749","26","","","","","5475","3563","1161","205","520","0","5070"
"26/11","13094","1175235","5806","7288","15","137","12368","13109","1177573","24509","952736","8635","0","","","","","","","604","200626","1180370","24544","955256","2,08%","254,4","12234","15162","10242","138","60","106243","71692","966","41028","44339","318","63%","162%","49%","","","63","","2021/11/26","","","","","","749","10","","","","","5456","3624","1148","145","529","0","5193"
"27/11","16052","1191287","8892","7160","15","148","1668","16067","1193640","24657","954404","8635","0","","","","","","","14251","214877","1196437","24692","956924","2,06%","255,9","12400","16096","8084","144","60","112779","56587","1007","46500","14304","340","70%","34%","51%","","","63","","2021/11/27","","","","","","749","10","","","","","5383","3458","1222","109","584","0","5301"
"28/11","12928","1204215","5828","7100","8","190","1712","12936","1206576","24847","956116","8635","0","","","","","","","11034","225911","1209373","24882","958636","2,06%","257,9","12534","16531","7591","160","57","115826","53136","1121","47834","10947","442","70%","26%","65%","","","63","","2021/11/28","","","","","","749","9","","","","","6096","3483","1846","174","584","0","5461"
"29/11","13758","1217973","6157","7601","12","173","16088","13770","1220346","25020","972204","8635","0","","","","","","","-2491","223420","1223143","25055","974724","2,05%","259,7","12677","17025","9207","158","59","119275","64448","1104","49578","18688","336","71%","41%","44%","","","63","","2021/11/29","","","","","","749","12","","","","","6413","4284","1254","186","610","67","5664"
"30/11","13966","1231939","6417","7549","6","197","14624","13972","1234318","25217","986828","8635","0","","","","","","","-849","222571","1237115","25252","989348","2,04%","261,7","12822","13431","11148","162","62","94115","78038","1134","-4455","37725","286","-5%","94%","34%","","","63","","2021/11/30","","","","","","749","15","","","","","5788","3743","1272","156","602","0","5735"
"1/12","14506","1246445","6425","8081","2","196","2704","14508","1248826","25413","989532","8635","0","","","","","","","11608","234179","1251623","25448","992052","2,03%","263,8","12972","13819","7827","172","60","96812","54791","1205","-3720","-7600","299","-4%","-12%","33%","","","63","","2021/12/1","","","","","","749","14","","","","","6497","4239","1393","177","674","0","5873"
"2/12","13677","1260122","6139","7538","21","210","13258","13698","1262524","25623","1002790","8635","0","","","","","","","230","234409","1265321","25658","1005310","2,03%","265,9","13114","13997","8917","179","60","98060","62422","1251","-4699","1127","320","-5%","2%","34%","","","63","","2021/12/2","","","","","","749","15","","","","","6600","4387","1359","162","677","0","6033"
"3/12","14483","1274605","5855","8628","9","200","1149","14492","1277016","25823","1003939","8635","0","","","","","","","13143","247552","1279813","25858","1006459","2,02%","268,0","13265","14196","7315","188","59","99443","51203","1314","-6800","-20489","348","-6%","-29%","36%","","","63","","2021/12/3","","","","","","749","14","","","","","6449","4219","1366","189","661","0","6175"
"4/12","13993","1288598","5591","8402","5","203","1107","13998","1291014","26026","1005046","8635","0","","","","","","","12688","260240","1293811","26061","1007566","2,01%","270,1","13410","13902","7235","196","57","97374","50642","1369","-15405","-5945","362","-14%","-11%","36%","","","63","","2021/12/4","","","","","","749","14","","","","","6788","4547","1377","185","665","0","6376"
"5/12","14312","1302910","6170","8142","2","199","1711","14314","1305328","26225","1006757","8635","0","","","","","","","12404","272644","1308125","26260","1009277","2,01%","272,2","13558","14099","7234","197","61","98752","50641","1378","-17074","-2495","257","-15%","-5%","23%","","","63","","2021/12/5","","","","","","749","15","","","","","6854","4618","1376","162","683","0","6484"
"6/12","14558","1317468","6331","8227","33","223","1130","14591","1319919","26448","1007887","8635","0","","","","","","","13238","285882","1322716","26483","1010407","2,00%","274,5","13709","14214","5098","204","59","99573","35683","1428","-19702","-28765","324","-17%","-45%","29%","","","63","","2021/12/6","","","","","","749","20","","","","","7006","4638","1445","162","741","","6569"
"7/12","0","1317468","0","0","0","0","0","0","1319919","26448","1007887","8635","0","","","","","","","0","285882","1322716","26483","1010407","2,00%","274,5","13709","12218","3008","176","0","85601","21059","1231","-8514","-56979","97","-9%","-73%","9%","","","63","","2021/12/7","","","","","","749","20","","","","","","","","","","",""
"8/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/8","","","","","","","","","","","","","","","","","",""
"9/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/9","","","","","","","","","","","","","","","","","",""
"10/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/10","","","","","","","","","","","","","","","","","",""
"11/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/11","","","","","","","","","","","","","","","","","",""
"12/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/12","","","","","","","","","","","","","","","","","",""
"13/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/13","","","","","","","","","","","","","","","","","",""
"14/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/14","","","","","","","","","","","","","","","","","",""
"15/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/15","","","","","","","","","","","","","","","","","",""
"16/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/16","","","","","","","","","","","","","","","","","",""
"17/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/17","","","","","","","","","","","","","","","","","",""
"18/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/18","","","","","","","","","","","","","","","","","",""
"19/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/19","","","","","","","","","","","","","","","","","",""
"20/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/20","","","","","","","","","","","","","","","","","",""
"21/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/21","","","","","","","","","","","","","","","","","",""
"22/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/22","","","","","","","","","","","","","","","","","",""
"23/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/23","","","","","","","","","","","","","","","","","",""
"24/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/24","","","","","","","","","","","","","","","","","",""
"25/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/25","","","","","","","","","","","","","","","","","",""
"26/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/26","","","","","","","","","","","","","","","","","",""
"27/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/27","","","","","","","","","","","","","","","","","",""
"28/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/28","","","","","","","","","","","","","","","","","",""
"29/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/29","","","","","","","","","","","","","","","","","",""
"30/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/30","","","","","","","","","","","","","","","","","",""
"31/12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021/12/31","","","","","","","","","","","","","","","","","",""
